date,via,lat,lon,alt,alt_max,tmp,hum,pss,count,rate
1688803252,DL7HMX-10,48.57846405863606,13.468306180202973,401.7264,401.7264,40,28,974.6,0,0
1688803313,DL7HMX-10,48.578429931272744,13.46833243202093,410.8704,410.8704,40.55555555555556,27,974.6,1,0.15
1688803374,DL7HMX-10,48.57846405863606,13.468269427657873,402.336,410.8704,40.55555555555556,27,974.6,2,-0.14
1688803434,DL7HMX-10,48.57842205572736,13.468306180202973,409.956,410.8704,41.666666666666664,27,974.6,3,0.13
1688803495,DL7HMX-10,48.57846930899965,13.46828517874863,398.9832,410.8704,42.22222222222222,28,974.4,4,-0.18
1688803555,DL7HMX-10,48.578450932727094,13.468269427657873,405.384,410.8704,38.888888888888886,32,974.4,5,0.11
1688803615,DL7HMX-10,48.578461433454265,13.46828517874863,399.8976,410.8704,36.11111111111111,32,974.5,6,-0.09
1688803675,DL7HMX-10,48.578450932727094,13.46833243202093,402.6408,410.8704,39.44444444444444,25,974.4,7,0.05
1688803735,DL7HMX-10,48.57843780681812,13.468243175839916,399.8976,410.8704,36.666666666666664,30,974.5,8,-0.05
1688803796,DL7HMX-10,48.578448307545294,13.468258926930702,405.6888,410.8704,35.55555555555556,31,974.5,9,0.1
1688803856,DL7HMX-10,48.578461433454265,13.46832193129373,406.6032,410.8704,36.11111111111111,31,974.4,10,0.02
1688803916,DL7HMX-10,48.57846930899965,13.468306180202973,406.2984,410.8704,35,29,974.2,11,-0.01
1688803977,DL7HMX-10,48.57846405863606,13.46832193129373,402.6408,410.8704,38.888888888888886,31,974.4,12,-0.06
1688804037,DL7HMX-10,48.57847718454503,13.46828517874863,395.3256,410.8704,37.77777777777778,29,974.5,13,-0.12
1688804226,DL7HMX-10,48.57846405863606,13.468243175839916,400.812,410.8704,33.888888888888886,34,974.5,17,0.05
1688804348,DL7HMX-10,48.57847718454503,13.46828517874863,399.8976,410.8704,32.77777777777778,35,974.7,19,0.05
1688804363,DL7HMX-10,48.57846405863606,13.468258926930702,398.9832,410.8704,33.333333333333336,34,974.5,20,-0.02
1688804423,DL7HMX-10,48.57846930899965,13.468269427657873,396.5448,410.8704,32.22222222222222,35,974.6,21,-0.04
1688804483,DL7HMX-10,48.57847455936324,13.468269427657873,395.9352,410.8704,33.888888888888886,35,974.6,22,-0.01
1688804604,DL7HMX-10,48.57847455936324,13.46828517874863,392.2776,410.8704,34.44444444444444,34,974.6,24,-0.06
1688804664,DL7HMX-10,48.57848768527221,13.46828517874863,395.0208,410.8704,35,33,974.7,25,0.05
1688804724,DL7HMX-10,48.57847718454503,13.468258926930702,395.6304,410.8704,33.888888888888886,33,974.7,26,0.01
1688804784,DL7HMX-10,48.578482434908615,13.46828517874863,396.8496,410.8704,34.44444444444444,33,974.7,27,0.02
1688804845,DL7HMX-10,48.57846405863606,13.46828517874863,397.764,410.8704,35,32,974.6,28,0.02
1688804905,DL7HMX-10,48.57846405863606,13.468269427657873,400.2024,410.8704,36.666666666666664,32,974.6,29,0.04
1688804965,DL7HMX-10,48.57846405863606,13.46828517874863,395.0208,410.8704,37.22222222222222,31,974.6,30,-0.09
1688805025,DL7HMX-10,48.578482434908615,13.468295679475801,398.3736,410.8704,37.77777777777778,29,974.6,31,0.06
1688805086,DL7HMX-10,48.57848768527221,13.468295679475801,394.716,410.8704,38.333333333333336,30,974.5,32,-0.06
1688805146,DL7HMX-10,48.57847455936324,13.468295679475801,396.8496,410.8704,36.666666666666664,31,974.6,33,0.04
1688805206,DL7HMX-10,48.578482434908615,13.468258926930702,392.5824,410.8704,35.55555555555556,30,974.6,34,-0.07
1688805266,DL7HMX-10,48.57842205572736,13.468180171476888,399.8976,410.8704,35,32,974.6,35,0.12
1688805327,DL7HMX-10,48.57849818599938,13.468306180202973,395.9352,410.8704,36.11111111111111,31,974.5,36,-0.07
1688805387,DL7HMX-10,48.57847718454503,13.46828517874863,394.4112,410.8704,36.666666666666664,30,974.6,37,-0.03
1688805447,DL7HMX-10,48.57846405863606,13.46828517874863,395.9352,410.8704,36.666666666666664,31,974.6,38,0.03
1688805507,DL7HMX-10,48.57846930899965,13.46828517874863,398.6784,410.8704,35.55555555555556,31,974.6,39,0.05
